,"Nr
okr.","Nr
listy","Nr
poz.",Kandydat,Głosy,"%
w okr.",Mandat
67,1,4,8,CHODOROWSKI Bogdan,1424,0.004336769654794354,-
68,1,4,9,ŁOBODA Krzysztof,1171,0.0035662621248344017,-
69,1,4,10,WILCZYŃSKI Kazimierz,1333,0.004059630582753423,-
70,1,4,11,KOPACKI Eugeniusz,592,0.0018029267104201245,-
71,1,4,12,ŁASOCHA Eugeniusz,356,0.0010841924136985885,-
72,1,4,13,SZATANIK Andrzej,991,0.0030180749493688235,-
73,1,4,14,HELAND Zygmunt,315,0.0009593275570647622,-
74,1,4,15,KURŁOWICZ Katarzyna Sylwia,1040,0.0031673036804677865,-
75,1,4,16,ZUGAJ Jan Józef,842,0.0025642977874556503,-
76,1,5,1,LIPIŃSKI Adam,7932,0.024156781532183154,T
77,1,5,2,ROMAN Piotr,2776,0.008454264439402476,-
78,1,5,3,JEZIERSKA Alicja,3025,0.00921259003212986,-
79,1,5,4,WITEK Elżbieta,1244,0.0037885824793287754,-
80,1,5,5,KLEŚTA Eugeniusz Andrzej,668,0.0020343835178389244,-
81,1,5,6,ŚLUSARZ Rafał,951,0.0028962555770431393,-
82,1,5,7,ŚLUFCIK Krzysztof,266,0.0008100988259657992,-
83,1,5,8,BIAŁY Wacław,815,0.0024820697111358134,-
84,1,5,9,STASIAK Jan Leon,389,0.0011846933958672779,-
85,1,5,10,KIJEWSKA-HOŁUB Małgorzata,462,0.0014070137503616512,-
86,1,5,11,ŁUKASZEWICZ Urszula,677,0.002061792876612203,-
87,1,5,12,WOLANIN Beata,698,0.0021257480470831874,-
88,1,5,13,JADACH Halina Maria,466,0.0014191956875942197,-
89,1,5,14,ZIĘBA Maria Stefania,488,0.001486196342373346,-
90,1,5,15,DANEK Barbara Magdalena,243,0.0007400526868785309,-
91,1,5,16,GÓROWSKA Halina,280,0.0008527356062797886,-
92,1,5,17,BARTMAN Leszek,273,0.0008314172161227939,-
93,1,5,18,KŁOS Radosław Wojciech,273,0.0008314172161227939,-
94,1,5,19,KRZYŚCIAK-ŁONIEWSKA Helena,266,0.0008100988259657992,-
95,1,5,20,RAWSKI Ryszard,879,0.002676980706856908,-
96,1,6,1,SAMBORSKI Tadeusz,4555,0.013872181023587275,T
97,1,6,2,PAWLAK Józef,1812,0.00551841756635349,-
98,1,6,3,KWAŚNICKI Roman Tadeusz,761,0.00231761355849614,-
99,1,6,4,BURTNY Kazimierz,1097,0.0033408962860318864,-
100,1,6,5,NIKLEWICZ Kazimierz,833,0.002536888428682371,-
101,1,6,6,GOŁĘBIOWSKA Wanda Józefa,1055,0.003212985945089918,-
102,1,6,7,JANAS Narcyz Marian,508,0.0015471060285361879,-
103,1,6,8,BORATYŃSKA Krystyna Ludwika,1630,0.004964139422271627,-
104,1,6,9,LISIECKI Stanisław,426,0.0012973763152685355,-
105,1,6,10,CIEŚLAK Lucyna,544,0.0016567434636293036,-
106,1,6,11,RAK Zofia,536,0.0016323795891641669,-
107,1,6,12,PODYMA Danuta,117,0.000356321664052626,-
108,1,6,13,ZYSNARSKI Radosław Tomasz,126,0.0003837310228259049,-
109,1,6,14,WITEK Ewa,347,0.0010567830549253095,-
110,1,6,15,NOWAK Ryszard,884,0.0026922081283976182,-
111,1,6,16,SZYMKÓW Tadeusz,198,0.0006030058930121362,-
112,1,6,17,ŚLIWIŃSKI Zbigniew Włodzimierz,902,0.0027470268459441763,-
113,1,6,18,WIECZOREK Roman Tomasz,196,0.000596914924395852,-
114,1,6,19,WILK Kazimierz,137,0.000417231350215468,-
115,1,6,20,HAWRYSZ Franciszek,323,0.0009836914315298991,-
116,1,6,21,ZAPAŚNIK Maria,129,0.0003928674757503312,-
117,1,6,22,ZAGÓRNY Marian,1662,0.0050615949201321744,-
118,1,6,23,BOŃCZAK Andrzej Arnold,68,0.00020709293295366295,-
119,1,6,24,BADECKI Zygmunt Józef,225,0.000685233969331973,-
120,1,7,1,MAĆKAŁA Tadeusz,12489,0.038035053524386714,T
121,1,7,2,NAJNIGIER Sławomir Bogdan,1305,0.003974357022125443,-
122,1,7,3,SAWICKA Beata,3240,0.009867369158380412,-
123,1,7,4,MIELNICZUK Mirosław,3835,0.011679432321724963,-
124,1,7,5,BORKOWSKI Tomasz,1181,0.003596716967915823,-
125,1,7,6,MILKA Dariusz Paweł,533,0.0016232431362397405,-
126,1,7,7,MIŚKO Jan Zbigniew,1432,0.00436113352925949,-
127,1,7,8,STASIK Karol,876,0.0026678442539324818,-
128,1,7,9,KOWALSKI Jan Kazimierz,528,0.00160801571469903,-
129,1,7,10,FROST Paweł,877,0.0026708897382406237,-
130,1,7,11,DUDKIEWICZ Jan,433,0.0013186947054255303,-
131,1,7,12,KRZYSZKOWSKA Małgorzata,1117,0.0034018059721947283,-
132,1,7,13,KOZŁOWSKI Józef,2114,0.0064381538274124045,-
133,1,7,14,KRZYWULSKI Zygmunt,185,0.000563414597006289,-
134,1,7,15,SAGANOWSKI Mariusz,826,0.0025155700385253764,-
135,1,7,16,SZUSTAK Andrzej,378,0.0011511930684777146,-
136,1,7,17,GREK Ryszard,312,0.0009501911041403359,-
137,1,7,18,RESZKE Ryszard,281,0.0008557810905879307,-
138,1,7,19,MIKRUT Marek,210,0.0006395517047098415,-
139,1,7,20,MAŚLANKA Janusz,675,0.002055701907995919,-
140,1,7,21,WOJNAROWSKI Norbert Ryszard,628,0.0019125641455132402,-
141,1,7,22,LIBER Jerzy Jan,1012,0.0030820301198398077,-
142,1,8,1,TRZECIAK Bronisław Kazimierz,240,0.0007309162339541045,-
143,1,8,2,SOKOŁOWSKI Józef Bogdan,108,0.00032891230527934705,-
144,1,8,3,NIEDŹWIECKI Grzegorz,76,0.00023145680741879976,-
145,1,8,4,IWANICKI Henryk,114,0.0003471852111281997,-
146,1,8,5,GOJŻEWSKI Władysław Jan,45,0.0001370467938663946,-
147,1,8,6,BRZOZA Małgorzata Elżbieta,86,0.0002619116505002208,-
148,1,8,7,OWSIUK Irena Bogusława,36,0.00010963743509311568,-
149,1,8,8,HORZELA Władysław,46,0.0001400922781745367,-
150,1,8,9,JANIKOWSKA Maria,92,0.0002801845563490734,-
151,1,8,10,OWSIANIK Czesław,40,0.0001218193723256841,-
152,1,8,11,PRZEWOŹNIK Bogusława Halina,39,0.00011877388801754198,-
153,1,8,12,POBIEDZIŃSKI Karol Sebastian,33,0.00010050098216868937,-
154,1,8,13,BERLEWICZ Regina Stanisława,35,0.00010659195078497358,-
155,1,8,14,KURT Bartłomiej,24,7.309162339541046e-05,-
156,1,8,15,GRZEŚKOWIAK Bożena Maria,106,0.00032282133666306287,-
157,1,8,16,GRZYWACZ Leszek Tadeusz,29,8.831904493612097e-05,-
158,1,8,17,FUNK Przemysław Piotr,27,8.222807631983676e-05,-
159,1,8,18,KROLCZUK Janina,27,8.222807631983676e-05,-
160,1,8,19,MACIEJEWSKI Eugeniusz,20,6.090968616284205e-05,-
161,1,8,20,SAWICKI Jan,50,0.00015227421540710512,-
162,1,8,21,KORALEWICZ Stanisław Michał,13,3.959129600584733e-05,-
163,1,8,22,ROBAKIEWICZ Rafał Grzegorz,41,0.0001248648566338262,-
164,1,10,1,SZUSTAK Halina Maria,7516,0.02288986005999604,T
165,1,10,2,OLIWA Kazimierz,1389,0.00423017770400938,-
166,1,10,3,KARPIEJ Janusz,753,0.002293249684031003,-
167,1,10,4,OSTROWSKI Stanisław Jerzy,1431,0.004358088044951349,-
168,1,10,5,TRYBULSKA Teresa Janina,824,0.002509479069909092,-
169,1,10,6,MARUSIAK Edward,664,0.002022201580606356,-
170,1,10,7,WOŹNY Zbigniew Piotr,505,0.0015379695756117617,-
171,1,10,8,GÓRSKI Józef Bogdan,1208,0.0036789450442356597,-
172,1,10,9,PODGAJNY Wiesław,219,0.0006669610634831204,-
173,1,10,10,FRANCZYK Eugeniusz,495,0.0015075147325303406,-
174,1,10,11,TENCZA Ewa,420,0.001279103409419683,-
175,1,10,12,KOLANO Helena Maria,404,0.0012303756604894094,-
176,1,10,13,BIAŁAS Roman,658,0.002003928674757503,-
177,1,10,14,KĘDZIORA Zenon Józef,589,0.0017937902574956983,-
178,1,10,15,DĘBICKI Zygmunt Wacław,281,0.0008557810905879307,-
179,1,10,16,PŁONKA Wiktoria Jadwiga,588,0.0017907447731875562,-
180,1,10,17,BOGUMIŁ Edward,309,0.0009410546512159096,-
181,1,10,18,MILLER Teresa,677,0.002061792876612203,-
182,1,10,19,SOLARZ Stanisław Józef,405,0.0012334211447975515,-
183,2,1,1,DYDUCH Marek,33287,0.14114648925298834,T
184,2,1,2,JEDOŃ Mieczysław,20667,0.08763404612586025,T
185,2,1,3,POGODA Czesław,10820,0.04587992350519223,T
186,2,1,4,HERMAN Krystyna Janina,7658,0.03247213070265824,T
187,2,1,5,MARKIEWICZ Adam,7194,0.030504636755670327,T
188,2,1,6,BANAŚ Magdalena,8570,0.03633927397777241,T
189,2,1,7,WIŁKOMIRSKI Józef,3440,0.014586593055255202,-
190,2,1,8,BIERUT Ryszard Michał,4205,0.017830413894577943,-
191,2,1,9,LUBIŃSKI Mirosław Aleksander,4761,0.020188014400020354,-
192,2,1,10,SUŁAWA Jolanta Aleksandra,3416,0.014484826126962724,-
193,2,1,11,SOLAREK Leszek,1523,0.00645795965789351,-
194,2,1,12,SŁUPSKA Maria,2243,0.009510967506667854,-
195,2,1,13,DRĄG Czesław,2519,0.010681287182031353,-
196,2,1,14,GRABEK Józef,3146,0.013339948183672344,-
197,2,1,15,KAMIŃSKA Marzanna,4704,0.01994631794532572,-
198,2,1,16,MATIASZKIEWICZ Mirosław Janusz,282,0.0011957614074366183,-
199,2,1,17,ŻARCZYŃSKA Krystyna Maria,2019,0.008561142842604725,-
200,2,1,18,KLONOWSKI Jarosław Marek,3784,0.01604525236078072,-
201,2,2,1,WAWRYNIEWICZ Ryszard Jan,3312,0.014043836104361985,-
202,2,2,2,SZEWC Leszek Marian,1673,0.007094002959721498,-
203,2,2,3,DEMBIŃSKI Marian,869,0.00368481086192348,-
204,2,2,4,WOJCIECHOWICZ Arkadiusz Robert,358,0.0015180233470294658,-
205,2,2,5,DROŻYŃSKA Barbara Anna,737,0.00312509275631485,-
206,2,2,6,CEGIEŁKA Mateusz Krzysztof,408,0.0017300377809721286,-
207,2,2,7,ŚLIWIŃSKA Krystyna Antonina,780,0.00330742516950554,-
208,2,2,8,ROWIŃSKA-BABIAK Krystyna,291,0.0012339240055462975,-
209,2,2,9,MITKIEWICZ Jerzy Bronisław,104,0.00044099002260073865,-
210,2,2,10,MUDY Zbigniew Hieronim,270,0.0011448779432903793,-
211,2,2,11,WALIGÓRSKI Ryszard Czesław,167,0.0007081282093684938,-
212,2,2,12,PADŁO Zygmunt,142,0.0006021209923971624,-
213,2,2,13,SENKOWSKI Zbigniew,885,0.003752655480785132,-
214,2,3,1,LITYŃSKI Jan,2624,0.011126517493310945,-
215,2,3,2,STACH-JANYST Iwona Stanisława,640,0.002713784754466084,-
216,2,3,3,ZALEWSKA Anna Elżbieta,595,0.0025229717639176875,-
217,2,3,4,GRZEŚKOWIAK Zdzisław Piotr,688,0.0029173186110510404,-
218,2,3,5,JAŚNIKOWSKI Adam Marian,841,0.0035660827789155886,-
219,2,3,6,KUŚMIERZ Janusz Bronisław,341,0.0014459384394889603,-
220,2,3,7,SILARSKA Katarzyna Hanna,272,0.0011533585206480858,-
221,2,3,8,NAWROCKA Halina,280,0.0011872808300789118,-
222,2,3,9,KUZAK Grzegorz Włodzimierz,194,0.0008226160036975317,-
223,2,3,10,ZATOKA Barbara,155,0.0006572447452222548,-
224,2,3,11,KUBICA Danuta Teresa,144,0.0006106015697548689,-
225,2,3,12,KAZA Irena,194,0.0008226160036975317,-
226,2,3,13,SIEDLECKI Roman Aleksander,93,0.00039434684713335284,-
227,2,3,14,GRAJEK Robert Jerzy,98,0.0004155482905276191,-
228,2,3,15,KAPELA Włodzimierz,110,0.0004664317546738582,-
229,2,3,16,MORAWIEC Krystyna Danuta,68,0.00028833963016202145,-
230,2,3,17,ŚNIEGUCKI Grzegorz Stanisław,171,0.0007250893640839068,-
231,2,3,18,SAUL-KAWKA Danuta Cecylia,197,0.0008353368697340915,-
232,2,4,1,FRANCZAK Franciszek Wojciech,7634,0.03237036377436576,T
233,2,4,2,PASTERNAK Andrzej,3548,0.015044544232571353,-
234,2,4,3,KOŁACZ Grzegorz,1975,0.008374570140735182,-
235,2,4,4,DMOCHOWSKA Agnieszka Bożena,4532,0.019216988292562957,-
236,2,4,5,WIDZIAK Józef Franciszek,1548,0.00656396687486484,-
237,2,4,6,WAŁOWSKI Grzegorz Piotr,1003,0.004253009544889816,-
238,2,4,7,GARBACZ Bożena Zofia,1582,0.006708136689945851,-
239,2,4,8,KOREJWO Grzegorz Franciszek,952,0.0040367548222683,-
240,2,4,9,LISTWAN Kazimierz,964,0.004087638286414539,-
241,2,4,10,STĘPNIAK Ireneusz,582,0.002467848011092595,-
242,2,4,11,KRAWCZYK Edmund Karol,1403,0.005949125016431119,-
243,2,5,1,LICA Wojciech,2709,0.011486942031013471,-
244,2,5,2,BARTOLIK Mirosław Roman,1006,0.004265730410926376,-
245,2,5,3,DZIEWIECKA Maria,1827,0.0077470074162648995,-
246,2,5,4,KĘDZIERSKI Andrzej Janusz,1169,0.004956897465579457,-
247,2,5,5,RETECKI Andrzej Jan,427,0.0018106032658703405,-
248,2,5,6,SZPAK Marek Stanisław,811,0.0034388741185499908,-
249,2,5,7,SMOLAK Stanisław Bogdan,407,0.0017257974922932754,-
250,2,5,8,ŁAKOMSKA Lila Zenona,674,0.0028579545695470946,-
251,2,5,9,ZIÓŁKOWSKI Jan,412,0.0017469989356875416,-
252,2,5,10,GIENIEC Władysław Mieczysław,273,0.001157598809326939,-
253,2,5,12,GRZEGORZEWICZ Grzegorz Sławomir,456,0.0019335716375570848,-
254,2,5,13,KUŹMIŃSKI Bogusław,224,0.0009498246640631294,-
255,2,5,14,BOGUCKI Michał Andrzej,380,0.0016113096979642374,-
256,2,6,1,NIEBIESZCZAŃSKI Ryszard Wiktor,3392,0.014383059198670245,-
257,2,6,2,KURZAWA Jarosław Jan,1341,0.0056862271183422165,-
258,2,6,3,DZIENDZIEL Wacław Alojzy,576,0.0024424062790194758,-
259,2,6,4,PIKSA Józef,1035,0.00438869878261312,-
260,2,6,5,KOWALSKA Ewa Małgorzata,1170,0.00496113775425831,-
261,2,6,6,NOWAK Ryszard Mieczysław,877,0.003718733171354306,-
262,2,6,7,BERNAT Halina Zofia,553,0.0023448796394058505,-
263,2,6,8,FEDORUK Marek Sylwester,403,0.0017088363375778624,-
264,2,6,9,JURKIEWICZ Włodzimierz,372,0.0015773873885334114,-
265,2,6,10,KORZEWICZ Jolanta,334,0.0014162564187369876,-
266,2,6,11,LIS Zdobysław Janusz,719,0.0030487675600954912,-
267,2,6,12,MACIEJCZYK Monika Barbara,199,0.000843817447091798,-
268,2,6,13,MIGOŚ Jarosław Franciszek,116,0.0004918734867469778,-
269,2,6,14,PISKORZ Wiesław,206,0.0008734994678437708,-
270,2,6,15,SZYMAŃSKI Jerzy Ryszard,232,0.0009837469734939556,-
271,2,6,16,ZAJĄCZKOWSKA Elżbieta,516,0.0021879889582882804,-
272,2,6,17,WIJATYK Bogusław Grzegorz,202,0.0008565383131283578,-
273,2,6,18,WEZNEROWICZ Maciej Jan,678,0.0028749157242625076,-
274,2,7,1,CHLEBOWSKI Zbigniew,9300,0.039434684713335284,T
275,2,7,2,GUZDEK Janusz,2181,0.009248069608578952,-
276,2,7,3,WAJS Jacek,3780,0.016028291206065307,-
277,2,7,4,SOCHA Krzysztof Maciej,1647,0.006983755454071313,-
278,2,7,5,ORPEL Leszek Wojciech,2166,0.009184465278396153,-
279,2,7,6,GDESZ Dariusz Stanisław,678,0.0028749157242625076,-
280,2,7,7,JURCEWICZ Stanisław,1993,0.00845089533695454,-
281,2,7,8,ILCZYSZYN Marek Zbigniew,227,0.0009625455300996892,-
282,2,7,9,ŚLIWA Regina,2523,0.010698248336746766,-
283,2,7,10,DALECZKO Zbigniew,322,0.0013653729545907486,-
284,2,7,11,PÓŁTORANOS Marian Antoni,1035,0.00438869878261312,-
285,2,7,12,DUDZIK Jerzy Andrzej,923,0.003913786450581555,-
286,2,7,13,ŁAMBUCKI Roman,906,0.0038417015430410504,-
287,2,8,1,ZIEMIŃSKI Adam Marek,252,0.0010685527470710207,-
288,2,8,2,DĄBROWSKI Bogusław Marian,135,0.0005724389716451896,-
289,2,8,3,JACUŃSKA Elżbieta,104,0.00044099002260073865,-
290,2,8,4,KOCHAŃSKI Leszek Piotr,74,0.000313781362235141,-
291,2,8,5,BARDZIŃSKI Lucjan,53,0.00022473529997922258,-
292,2,8,6,IGIELSKI Arkadiusz Jan,49,0.00020777414526380956,-
293,2,8,7,STUDZIŃSKI Piotr,109,0.00046219146599500493,-
294,2,8,8,RODAK Beata,81,0.00034346338298711377,-
295,2,8,9,WOJCIECHOWSKI Lucjan,118,0.0005003540641046843,-
296,2,8,10,MATIAS Edward Bronisław,61,0.00025865760941004866,-
297,2,8,11,LAHUTTA Piotr Franciszek,31,0.00013144894904445096,-
298,2,8,12,ZWIERZYKOWSKA Alina Władysława,37,0.0001568906811175705,-
299,2,8,13,JANCZY Jerzy Tadeusz,21,8.904606225591838e-05,-
300,2,8,14,MAZGUŁA Janusz Antoni,41,0.00017385183583298351,-
301,2,8,15,NIETRZEBKA Józefa Katarzyna,21,8.904606225591838e-05,-
302,2,8,16,MAŃKO Barbara Bogusława,35,0.00014841010375986398,-
303,2,8,17,PRZEPIÓRSKA Henryka Danuta,32,0.0001356892377233042,-
304,2,8,18,KOSZYKA Jerzy,40,0.00016961154715413026,-
305,2,10,1,GÓRNIAK Grzegorz Antoni,4401,0.01866151047563318,T
306,2,10,2,NAPIERAŁA Bogdan Adam,1414,0.005995768191898504,-
307,2,10,3,KOPCIUCH Teresa,1173,0.0049738586202948696,-
308,2,10,4,CYKOWSKI Janusz,950,0.004028274244910594,-
309,2,10,5,BINIEK Agnieszka Anna,1956,0.008294004655836969,-
310,2,10,6,JANCELEWICZ Edward Stanisław,392,0.0016621931621104765,-
311,2,10,7,NAWROT Elżbieta Józefa,2176,0.009226868165184686,-
312,2,10,8,WNUK Henryk Stanisław,352,0.0014925816149563462,-
313,2,10,9,KOSIŃSKI Adam,291,0.0012339240055462975,-
314,2,10,10,GRABOWSKI Kazimierz,1187,0.005033222661798815,-
315,2,10,11,PAWLUK Józef,274,0.0011618390980057923,-
316,2,10,12,KRUKOWSKI-PETEHYRYCZ Ryszard Maria,66,0.00027985905280431494,-
317,2,10,13,KOZŁOWSKI Andrzej Henryk,368,0.0015604262338179983,-
318,2,10,14,ZARAJCZYK Józef Mieczysław,48,0.0002035338565849563,-
319,2,10,15,ZANIN Paweł Jan,224,0.0009498246640631294,-
320,3,1,1,CHAŁADAJ Jan Andrzej,29124,0.06953640012320005,T
321,3,1,2,KRASOŃ Janusz,15246,0.0364013169989805,T
322,3,1,3,OTRĘBA Andrzej Jan,7145,0.01705938672161325,T
323,3,1,4,JASZTAL Teresa,8551,0.020416349315117554,T
324,3,1,5,SZYMAŃSKI Jan,10147,0.02422695550233865,T
325,3,1,6,GUCWIŃSKA Hanna Stefania,28847,0.0688750355155182,T
326,3,1,7,KRAWCZYK Agnieszka Ewa,6638,0.015848874605747902,-
327,3,1,8,RYMARCZYK Jan,5315,0.012690082634761993,-
328,3,1,9,LECH Lesław,2086,0.004980529139438103,-
329,3,1,10,CZAJKOWSKI Tomasz Robert,2049,0.00489218801855641,-
330,3,1,11,STEFANKO Stanisław,4112,0.009817802407176165,-
331,3,1,12,FRANCZAK Zdzisław,2880,0.006876281841601982,-
332,3,1,13,WAWRZYNIAK Barbara Małgorzata,3175,0.007580623210793853,-
333,3,1,14,DYKIER Irena Antonina,3287,0.007848034171300595,-
334,3,1,15,SZPAK Jacek Marcin,1399,0.00334024940847263,-
335,3,1,16,MAŃKOWSKA Ewa Maria,5022,0.011990516461293458,-
336,3,1,17,ŁAWIK Kazimierz Albert,2027,0.004839660865599729,-
337,3,1,18,PŁUZIŃSKI Tadeusz,974,0.002325520317264004,-
338,3,1,19,PIETRZAK Zdzisław,4386,0.010472004221273019,-
339,3,1,20,KORZENIOWSKI Zbigniew,3375,0.008058142783127324,-
340,3,1,21,LEWANDOWSKA Alicja Mariola,2852,0.006809429101475297,-
341,3,1,22,GĄSIOR Ryszard Jan,1037,0.0024759389825490473,-
342,3,1,23,BERNACKI Henryk,2721,0.006496653781596873,-
343,3,1,24,KRUK-GRĘZIAK Joanna Elżbieta,2199,0.005250327697806514,-
344,3,1,25,BODNIAK Beata Maria,1139,0.0027194739644391176,-
345,3,1,26,WICHA Stanisław,2152,0.005138110598308148,-
346,3,1,27,WOLNIAKOWSKI Igor Wit,2530,0.006040622590018408,-
347,3,1,28,UFNALSKA Wanda,3559,0.008497460789674116,-
348,3,2,1,CHMIELEWSKI Jan Roman,3382,0.008074855968158995,-
349,3,2,2,WIĄZOWSKI Waldemar Bogdan,1793,0.0042809629659695675,-
350,3,2,3,CZARNECKI Ryszard,5261,0.012561152350231955,-
351,3,2,4,WÓJCIK Tomasz Feliks,5654,0.013499478309867226,-
352,3,2,5,WOLAK Ewa Wanda,744,0.0017763728090805122,-
353,3,2,6,MAJEWICZ Ryszard Andrzej,212,0.0005061707466734792,-
354,3,2,7,KOMSTA Alicja,183,0.000436930408685126,-
355,3,2,8,CZARTORYSKI Tytus Henryk,698,0.0016665433074438138,-
356,3,2,9,KAWALEC Krzysztof Stanisław,831,0.001984093823045572,-
357,3,2,10,JANKOWSKA-ŚCIGAJ Izabela,324,0.0007735817071802231,-
358,3,2,11,KOSPICZEWICZ Kazimiera,174,0.0004154420279301198,-
359,3,2,12,MUSIAŁ Mirosław Michał,140,0.0003342637006334297,-
360,3,2,13,HYK Jarosław Zbigniew,63,0.00015041866528504337,-
361,3,2,14,STELMACH Ryszard Zbigniew,135,0.00032232571132509295,-
362,3,2,15,BARDADYN Piotr,101,0.00024114738402840287,-
363,3,2,16,KLEPCZYK Stanisław Adam,85,0.0002029458182417252,-
364,3,2,17,LEWANDOWSKI Martin Maria,432,0.0010314422762402974,-
365,3,2,18,CALIŃSKA Małgorzata Maria,1619,0.003865520938039448,-
366,3,3,1,FRASYNIUK Władysław,12572,0.03001688031688199,-
367,3,3,2,ZALEWSKA Danuta,1079,0.0025762180927390763,-
368,3,3,3,GAWLIK Radosław,2302,0.005496250277558252,-
369,3,3,4,NOWOTARSKI Bartłomiej,545,0.0013012408346087085,-
